ticker,asset_class,strategy,sd_n,profit_pct,rebalance_trigger,total_return_pct,volatility_alpha_pct,max_drawdown_pct,sharpe_ratio,transaction_count,final_holdings,final_bank,final_value,start_date,end_date
MSTR,growth_stocks,sd6,6,50.0,0,339.5528126239809,-127.21715170588688,0,0,68,4702,653275.050868988,1659267.9365196228,2023-10-23,2024-10-23
MSTR,growth_stocks,sd8,8,50.0,0,333.47894978654307,-133.29101454332474,0,0,101,4617,648532.5754508972,1636339.7113609314,2023-10-23,2024-10-23
MSTR,growth_stocks,sd10,10,50.0,0,325.0104072719049,-141.75955705796292,0,0,126,4535,634108.5735969543,1604371.8097572327,2023-10-23,2024-10-23
MSTR,growth_stocks,sd12,12,50.0,0,331.1490073278485,-135.6209570020193,0,0,155,4479,669262.3751144409,1627544.4114456177,2023-10-23,2024-10-23
SHOP,growth_stocks,sd6,6,50.0,0,58.951433457019284,2.7553478450401236,0,0,17,8152,161263.96077728271,810652.3106307983,2023-10-23,2024-10-23
SHOP,growth_stocks,sd8,8,50.0,0,59.66939638250014,3.4733107705209765,0,0,26,8241,157835.83137130737,814313.9215507507,2023-10-23,2024-10-23
SHOP,growth_stocks,sd10,10,50.0,0,59.66789762309953,3.4718120111203676,0,0,42,8041,173760.18843078613,814306.2778778076,2023-10-23,2024-10-23
SHOP,growth_stocks,sd12,12,50.0,0,59.87830506717457,3.6822194551954124,0,0,53,8109,169416.3861465454,815379.3558425903,2023-10-23,2024-10-23
BTC-USD,crypto,sd4,4,50.0,0,95.10990555810834,-5.675093301406042,0,0,11,7340,157932892.82421875,645545206.4179688,2023-10-23,2024-10-23
BTC-USD,crypto,sd6,6,50.0,0,92.82854607089712,-7.956452788617252,0,0,19,7288,153839207.51171875,637997046.9492188,2023-10-23,2024-10-23
BTC-USD,crypto,sd8,8,50.0,0,93.06657096701375,-7.718427892500623,0,0,35,7301,153763123.72265625,638784581.6992188,2023-10-23,2024-10-23
BTC-USD,crypto,sd10,10,50.0,0,93.14299655988918,-7.642002299625183,0,0,57,7313,153218800.88671875,639037445.2070312,2023-10-23,2024-10-23
ETH-USD,crypto,sd4,4,50.0,0,48.713783689202366,6.5860234842793295,0,0,11,8729,4351749.8583984375,26253673.955322266,2023-10-23,2024-10-23
ETH-USD,crypto,sd6,6,50.0,0,49.28104070421722,7.153280499294184,0,0,26,8766,4359055.771484375,26353816.52685547,2023-10-23,2024-10-23
ETH-USD,crypto,sd8,8,50.0,0,51.82648359028808,9.698723385365039,0,0,47,8777,4780823.764892578,26803184.607910156,2023-10-23,2024-10-23
ETH-USD,crypto,sd10,10,50.0,0,50.224199822777116,8.09643961785408,0,0,76,8799,4442759.186767578,26520320.205078125,2023-10-23,2024-10-23
GLD,commodities,sd8,8,50.0,0,34.97873957582952,-2.1311655689934597,0,0,4,8806,260544.83749389648,2469706.0144958496,2023-10-23,2024-10-23
GLD,commodities,sd10,10,50.0,0,34.8045018397778,-2.305403305045184,0,0,5,8726,277426.40922546387,2466517.986618042,2023-10-23,2024-10-23
GLD,commodities,sd12,12,50.0,0,34.78107300384401,-2.32883214097897,0,0,6,8673,290293.8415527344,2466089.3092041016,2023-10-23,2024-10-23
GLD,commodities,sd16,16,50.0,0,34.69370982131614,-2.4161953235068423,0,0,10,8611,304249.29708862305,2464490.8250427246,2023-10-23,2024-10-23
SLV,commodities,sd8,8,50.0,0,43.450457917726126,-2.4402793627045116,0,0,9,8471,41818.80072784424,301963.2029724121,2023-10-23,2024-10-23
SLV,commodities,sd10,10,50.0,0,43.82234873365638,-2.068388546774258,0,0,14,8475,42478.790870666504,302746.03311157227,2023-10-23,2024-10-23
SLV,commodities,sd12,12,50.0,0,44.26117507268312,-1.6295622077475147,0,0,26,8258,50066.59008216858,303669.7625217438,2023-10-23,2024-10-23
SLV,commodities,sd16,16,50.0,0,44.4473647843808,-1.4433724960498384,0,0,44,8312,48800.17946052551,304061.69185066223,2023-10-23,2024-10-23
SPY,indices,sd10,10,50.0,0,35.33479770654364,-2.131311312327744,0,0,7,8736,640966.2340393066,5690286.788726807,2023-10-23,2024-10-23
SPY,indices,sd12,12,50.0,0,35.2081948728058,-2.257914146065587,0,0,8,8680,668010.5308532715,5684963.6460876465,2023-10-23,2024-10-23
SPY,indices,sd16,16,50.0,0,35.20242074600187,-2.263688272869513,0,0,12,8614,705915.0912780762,5684720.867156982,2023-10-23,2024-10-23
SPY,indices,sd20,20,50.0,0,35.03003907129766,-2.436069947573727,0,0,16,8575,721208.7411499023,5677472.907409668,2023-10-23,2024-10-23
QQQ,indices,sd10,10,50.0,0,35.70962788410923,-1.5974171054421005,0,0,9,8748,554611.3653259277,4826784.5171813965,2023-10-23,2024-10-23
QQQ,indices,sd12,12,50.0,0,35.44247510273845,-1.8645698868128835,0,0,12,8693,571969.3411865234,4817282.693847656,2023-10-23,2024-10-23
QQQ,indices,sd16,16,50.0,0,35.41588902574478,-1.8911559638065512,0,0,18,8627,603255.5131835938,4816337.106811523,2023-10-23,2024-10-23
QQQ,indices,sd20,20,50.0,0,35.35598447307693,-1.951060516474401,0,0,26,8590,619194.2073364258,4814206.481506348,2023-10-23,2024-10-23
DIA,indices,sd10,10,50.0,0,27.758472057401068,-1.3439189927531403,0,0,4,9028,368997.5823059082,4207342.095367432,2023-10-23,2024-10-23
DIA,indices,sd12,12,50.0,0,27.643982780161313,-1.4584082699928946,0,0,5,8923,409869.0217285156,4203571.734405518,2023-10-23,2024-10-23
DIA,indices,sd16,16,50.0,0,27.72236458218849,-1.380026467965717,0,0,9,8797,466020.451751709,4206153.003967285,2023-10-23,2024-10-23
DIA,indices,sd20,20,50.0,0,27.67419834738774,-1.4281927027664676,0,0,12,8873,432122.08099365234,4204566.793487549,2023-10-23,2024-10-23
