,Open,High,Low,Close,Volume
2024-02-22,152.0,152.0,152.0,152.0,1000000
2024-02-23,153.0,153.0,153.0,153.0,1000000
2024-02-24,154.0,154.0,154.0,154.0,1000000
2024-02-25,155.0,155.0,155.0,155.0,1000000
2024-02-26,156.0,156.0,156.0,156.0,1000000
2024-02-27,156.99999999999997,156.99999999999997,156.99999999999997,156.99999999999997,1000000
2024-02-28,158.0,158.0,158.0,158.0,1000000
2024-02-29,159.0,159.0,159.0,159.0,1000000
2024-03-01,160.0,160.0,160.0,160.0,1000000
2024-03-02,161.0,161.0,161.0,161.0,1000000
2024-03-03,162.0,162.0,162.0,162.0,1000000
2024-03-04,163.0,163.0,163.0,163.0,1000000
2024-03-05,164.0,164.0,164.0,164.0,1000000
2024-03-06,165.0,165.0,165.0,165.0,1000000
2024-03-07,166.0,166.0,166.0,166.0,1000000
2024-03-08,167.0,167.0,167.0,167.0,1000000
2024-03-09,168.00000000000003,168.00000000000003,168.00000000000003,168.00000000000003,1000000
2024-03-10,169.0,169.0,169.0,169.0,1000000
2024-03-11,170.0,170.0,170.0,170.0,1000000
2024-03-12,171.0,171.0,171.0,171.0,1000000
2024-03-13,172.0,172.0,172.0,172.0,1000000
2024-03-14,173.0,173.0,173.0,173.0,1000000
2024-03-15,174.0,174.0,174.0,174.0,1000000
2024-03-16,175.0,175.0,175.0,175.0,1000000
2024-03-17,176.0,176.0,176.0,176.0,1000000
2024-03-18,177.0,177.0,177.0,177.0,1000000
2024-03-19,178.0,178.0,178.0,178.0,1000000
2024-03-20,179.0,179.0,179.0,179.0,1000000
2024-03-21,180.0,180.0,180.0,180.0,1000000
2024-03-22,181.0,181.0,181.0,181.0,1000000
2024-03-23,181.99999999999997,181.99999999999997,181.99999999999997,181.99999999999997,1000000
2024-03-24,183.0,183.0,183.0,183.0,1000000
2024-03-25,184.0,184.0,184.0,184.0,1000000
2024-03-26,185.0,185.0,185.0,185.0,1000000
2024-03-27,186.0,186.0,186.0,186.0,1000000
2024-03-28,187.0,187.0,187.0,187.0,1000000
2024-03-29,188.0,188.0,188.0,188.0,1000000
2024-03-30,189.0,189.0,189.0,189.0,1000000
2024-03-31,190.0,190.0,190.0,190.0,1000000
2024-04-01,191.0,191.0,191.0,191.0,1000000
2024-04-02,192.0,192.0,192.0,192.0,1000000
2024-04-03,193.00000000000003,193.00000000000003,193.00000000000003,193.00000000000003,1000000
2024-04-04,194.0,194.0,194.0,194.0,1000000
2024-04-05,195.0,195.0,195.0,195.0,1000000
2024-04-06,196.0,196.0,196.0,196.0,1000000
2024-04-07,197.0,197.0,197.0,197.0,1000000
2024-04-08,198.0,198.0,198.0,198.0,1000000
2024-04-09,199.0,199.0,199.0,199.0,1000000
2024-04-10,200.0,200.0,200.0,200.0,1000000
